ID,Name_lang,Description_lang,Map[0],Map[1],JournalInstanceID,DungeonEncounterID,OrderIndex,FirstSectionID,UiMapID,MapDisplayConditionID,Flags,DifficultyMask
127,"Isiset, Construct of Magic","Isiset serves to regulate the arcane energies contained within, and produced by, the Halls of Origination. Legend has it that this construct has become enraptured with her own arcane mastery and the perfection with which it seemingly endows her.",0.31037956,0.5,70,1077,4,2555,299,0,0,-1
128,"Ammunae, Construct of Life","Although designed to reduce Azeroth to its base elements, the reordering system inside the Halls of Origination also creates new life. To that end, the construct Ammunae regulates the natural energies coursing through the facility to ensure that life will exist on a reforged Azeroth.",0.47504994,0.74700606,70,1074,5,2565,299,0,0,-1
129,"Setesh, Construct of Destruction","Given the purpose of the Halls of Origination, the titans deemed it necessary to create Setesh, a construct who holds sway over the powers of destruction. Should Setesh ever fall to corruption, the results would be disastrous.",0.63972116,0.49251497,70,1079,6,2666,299,0,0,-1
130,"Rajh, Construct of Sun","Rajh oversees the energies that have both sparked life and snuffed it out in an untold number of his kin. Considered the mightiest of his fellow constructs, Rajh holds the power to unleash the fury of a thousand suns upon Azeroth.",0.47504994,0.25299394,70,1078,7,2926,299,0,0,-1
131,General Umbriss,"As Azeroth's champions and their red dragon allies assault the gates of Grim Batol, the malefic General Umbriss leads the fortress's cultist and twilight dragonspawn defenders.",0.40518978,0.6871258,71,1051,1,3353,293,0,0,-1
132,Forgemaster Throngus,"A smith for the Twilight's Hammer cult, this massive ettin is eager to use the weapons and armor he's forged to annihilate intruders.",0.515,0.3,71,1050,2,816,293,0,0,-1
133,Drahga Shadowburner,"This Twilight's Hammer courier is on a mission from the Bastion of Twilight. Should heroes overcome his fiery minions, Drahga will reveal a portent of doom for Azeroth's defenders.",0.6946116,0.19311368,71,1048,3,3364,293,0,0,-1
134,"Erudax, the Duke of Below","Deathwing has dispatched one of his greatest lieutenants to discover the secret that several mighty red dragons have died to protect. From the cavernous realm of Deepholm, this faceless general will bring to bear the next generation of draconic power to obliterate those foolish enough to challenge him.",0.8562618,0.74700606,71,1049,4,3374,293,0,0,-1
139,Argaloth,"Unable to contain the massive pit lord Argaloth in the cells of Dalaran's mighty Violet Hold, the magi of the Kirin Tor were left with no choice but to confine the powerful demon beneath Tol Barad.",0.8043925,0.6347306,75,1033,1,2602,282,0,2,15
140,Occu'thar,"This ravenous demon broke free of its cage and gained access to the western wing of the prison, devouring all of the inmates held there. Occu'thar's gluttony resulted in a body too bloated to escape its environs, effectively turning the prison wing into its new holding cell.",0.15568893,0.6317773,75,1250,2,2605,282,0,2,15
154,The Conclave of Wind,"With Siamat, Lord of the South Wind, imprisoned by the Neferset tol'vir, Al'Akir's lieutenants are vying to fill the power vacuum that now exists in the Conclave of Wind. The remaining conclave members are Anshal, Lord of the West Wind, whose gales can heal allies or poison enemies; Rohash, Lord of the East Wind, whose tempests can grind the mightiest mountains to dust; and Nezir, Lord of the North Wind, whose frigid storms have claimed more lives than all other cardinal wind lords combined.",0.47504994,0.26047897,74,1035,1,3166,328,0,2,15
155,Al'Akir,"Gifted with great intelligence and cunning, Al'Akir the Windlord once served as the foremost tactician in the Old Gods' horrific armies. In the wake of the Cataclysm, he has aligned with Deathwing and turned his godlike powers against many of the air elementals' ancient tol'vir nemeses.",0.47504994,0.5,74,1034,2,3021,328,0,2,15
156,Halfus Wyrmbreaker,"Imbued with unnatural power and stamina by Cho'gall, the ettin Halfus Wyrmbreaker captures dragons for use as fodder in the Twilight's Hammer's rituals. To this end, he has enslaved a behemoth proto-dragon to aid him in hunting down his winged prey.",0.5349303,0.19311368,72,1030,1,2959,294,0,2,15
157,Theralion and Valiona,"Magically aged to adulthood, Valiona and Theralion were to be paragons among a new clutch of twilight dragons, leading their brood in scouring Azeroth of life. Instead, they waste their incredible powers constantly bickering and fighting each other.",0.53992033,0.7844312,72,1032,2,2994,294,0,2,15
158,Ascendant Council,"As the most powerful Twilight's Hammer cultists to be twisted into elemental beings, the Ascendant Council members have long forgotten their existence as mere mortals. From their wicked sanctum, they oversee the selection of new ascension candidates.",0.42514983,0.4550898,72,1028,3,3109,295,0,2,15
167,Cho'gall,"Under Cho'gall's control, the orcish Twilight's Hammer clan was transformed into a murderous cult obsessed with the Old Gods and their herald, Deathwing. Extended contact with his dark master has hideously warped both Cho'gall's mind and body.",0.73453194,0.7544911,72,1029,4,3165,295,0,2,15
168,Sinestra,"Originally Deathwing's prime consort, Sinestra created the first twilight dragons, but was later obliterated by one of her terrifying creations. Now a ravaged husk reanimated by insidious magic, Sinestra oversees the creation of new twilight clutches.",0.49001998,0.34281433,72,1082,5,3226,296,0,2,12
169,Omnotron Defense System,"The Omnotron Defense System was once touted as the Dark Iron dwarves' greatest technological marvel. When Nefarian arrived in Blackwing Descent, he repurposed the run-down system to annihilate anyone intruding on his laboratories.",0.6546913,0.5748503,73,1027,1,3193,285,0,2,15
170,Magmaw,"Magmaw is a colossal lava worm summoned from the Firelands centuries ago by Ragnaros' Dark Iron servitors. Nefarian largely considers Magmaw a worrisome pest, but has grown fond of feeding the beast his failed experiments... and servants.",0.27544948,0.5748503,73,1024,2,3310,285,0,2,15
171,Atramedes,"Atramedes, or Experiment 25463-D, is a failed attempt to bestow enhanced senses on a black dragon whelp. The toxic salve applied to the broodling robbed him of sight, forcing him to rely on sound and smell for survival. A tragic story... if Atramedes weren't so evil.",0.47504994,0.32784426,73,1022,3,3072,286,0,2,15
172,Chimaeron,Terrifying. Ugly. Evil. Kill it.,0.2455094,0.70209587,73,1023,4,3008,286,0,2,15
173,Maloriak,The human Malory was a bright young alchemist until he was kidnapped by Nefarian and fused with the corpse of a dragonspawn. The result-Maloriak-is a bumbling minion who possesses only a dull glimmer of his former intelligence.,0.7145718,0.70209587,73,1025,5,2929,286,0,2,15
174,Nefarian's End,"Deathwing's son, Nefarian, gained infamy for his horrifying efforts to create chromatic dragons from the essences of Azeroth's various dragonflights. After his death in Blackwing Lair, he was reanimated and charged by Deathwing to continue his insidious endeavors.",0.48003995,0.70209587,73,1026,6,3276,286,0,2,15
175,High Priest Venoxis,"Originally sent to kill Hakkar, Venoxis became enslaved to the murderous entity before falling to Azeroth's heroes. Through the efforts of the Soulflayer's agents, Venoxis has been ripped from the spirit world and ordered to defend Zul'Gurub with his venomous serpentine minions.",0.5099801,0.53742516,76,1178,1,2787,337,0,0,-1
176,Bloodlord Mandokir,"The infamous Bloodlord Mandokir died a torturous death before Bloodscalp trolls desecrated his body years ago. Word has now spread that Mandokir walks the jungles of Stranglethorn yet again, using the corpse of the mighty Bloodscalp chieftain Gan'zulah as a host for his malevolent spirit.",0.60479087,0.7994013,76,1179,2,2610,337,0,0,-1
177,Cache of Madness - Gri'lek,"Among the hateful spirits in the Cache of Madness are Gri'lek, a dire troll stripped of his regenerative abilities by the loa; Renataki, an infamous and sadistic warrior; Hazza'rah, a seer tormented by dire future visions; and Wushoolay, a mighty combatant bristling with the powers of the storms.",0.599801,0.462575,76,788,3,2504,337,0,0,-1
178,Cache of Madness - Hazza'rah,"Among the hateful spirits in the Cache of Madness are Gri'lek, a dire troll stripped of his regenerative abilities by the loa; Renataki, an infamous and sadistic warrior; Hazza'rah, a seer tormented by dire future visions; and Wushoolay, a mighty combatant bristling with the powers of the storms.",0.6367,0.462575,76,788,4,3508,337,0,0,-1
179,Cache of Madness - Renataki,"Among the hateful spirits in the Cache of Madness are Gri'lek, a dire troll stripped of his regenerative abilities by the loa; Renataki, an infamous and sadistic warrior; Hazza'rah, a seer tormented by dire future visions; and Wushoolay, a mighty combatant bristling with the powers of the storms.",0.599801,0.51497,76,788,5,2501,337,0,0,-1
180,Cache of Madness - Wushoolay,"Among the hateful spirits in the Cache of Madness are Gri'lek, a dire troll stripped of his regenerative abilities by the loa; Renataki, an infamous and sadistic warrior; Hazza'rah, a seer tormented by dire future visions; and Wushoolay, a mighty combatant bristling with the powers of the storms.",0.601905,0.414711,76,788,6,2498,337,0,0,-1
181,High Priestess Kilnara,"When High Priestess Arlokk was killed, the panther loa Bethekk chose her sister, Kilnara, as her new mortal champion. Supporting the recent pact between the Gurubashi and Zandalar tribes, Kilnara has unleashed her savage panther minions on the region's unsuspecting denizens.",0.48003995,0.20059872,76,1180,7,2692,337,0,0,-1
184,Zanzil,"Exiled from the Skullsplitter tribe for turning his fellow trolls into mindless slaves, Zanzil was recently offered a place among the Gurubashi by Jin'do the Godbreaker in exchange for bolstering Zul'Gurub's forces. It is well-known that his toxic elixirs can even rouse the dead from their graves.",0.31733844,0.24550891,76,1181,8,2508,337,0,0,-1
185,Jin'do the Godbreaker,"After his defeat in Zul'Gurub, Jin'do's spirit was tormented by his failure to serve Hakkar's wishes. Jin'do recently found a way back into the world and enslaved the Soulflayer. Bristling with the dread god's terrible powers, Jin'do plans to restore the Gurubashi empire to its former glory.",0.48502997,0.39520955,76,1182,9,2899,337,0,0,-1
186,Akil'zon,"As a former shaman of the Amani tribe, Akil'zon had a preternatural ability when working with the element of air. This talent caught the eye of Hex Lord Malacrass and made finding a host for the trolls' eagle god an easy task.",0.35528967,0.23053885,77,1189,1,2521,333,0,0,-1
187,Nalorakk,Hex Lord Malacrass considered Nalorakk-renowned for both his fearsome rage and savage strength on the battlefield-the ideal vessel for the bear god's essence.,0.40518978,0.7739929,77,1190,2,2867,333,0,0,-1
188,Jan'alai,"Dragonhawks are deft predators that rend their foes with razor-sharp talons. This mindset and method of attack were also favored by one of the Amani tribe's highly skilled rogues, Jan'alai.",0.55489045,0.7095809,77,1191,3,2621,333,0,0,-1
189,Halazzi,The lynxes of Azeroth are vicious hunters that shred their prey with fang and claw. Hex Lord Malacrass mused that it was only right to seal the essence of the lynx god within one of the tribe's greatest hunters.,0.5848307,0.23802388,77,1192,4,2804,333,0,0,-1
190,Hex Lord Malacrass,"Rumored to be the most feared witch doctor of the Amani tribe in decades, Hex Lord Malacrass has done the unthinkable and sealed the essence of several mighty troll animal gods in their strongest champions... keeping the darkest one for himself.",0.7145718,0.5299401,77,1193,5,2706,333,0,0,-1
191,Daakara,"To fill the power vacuum left from the death of their old warlord, Zul'jin, the remaining trolls of the Amani tribe chose their favored champion, Daakara the Invincible, to reclaim their lost glory.",0.90419334,0.5299401,77,1194,6,2875,333,0,0,-1
192,Beth'tilac,"Matriarch of the Cinderweb Brood, Beth'tilac and her merciless offspring sate their appetites by sucking the magma and fire from the corpses of elementals. To provide her broodlings with added sustenance, Beth'tilac has woven a network of incendiary webs throughout her lair to trap unsuspecting prey.",0.21057922,0.32784426,78,1197,1,20826,367,0,0,-1
193,Lord Rhyolith,"Rhyolith is one of the most ancient elementals in existence, born from the primordial fires that forged Azeroth itself. He is responsible for the creation of new elementals in the Firelands and still possesses a searing hatred of the titans for what he considers monumental arrogance in relocating him.",0.65369326,0.7500001,78,1204,2,20812,367,0,0,-1
194,Alysrazor,"When Ragnaros's forces surged into Mount Hyjal, the green dragon Alysra betrayed her allies and helped liberate the traitorous archdruid Fandral Staghelm. As a reward, she was purified with fire and reborn as a fearsome fire hawk.",0.6437137,0.38023955,78,1206,3,20817,367,0,0,-1
195,Shannox,"The flamewakers are among the most feared elemental guardians in the Firelands.  Shannox is no exception.  Serving as the chief hunter and kennel master of Ragnaros's hell hounds, Shannox patrols the elemental realm with his two most ferocious beasts: Riplimb and Rageface.",0.49301347,0.44311342,78,1205,4,20808,367,0,0,-1
196,"Baleroc, the Gatekeeper","Baleroc earned a reputation as a merciless combatant during the elemental wars of ancient Azeroth. Now that he is confined to the Firelands, Baleroc's sanity has dwindled. Few elementals dare disturb him, fearful that they will become victim to his battle lust.",0.4950096,0.3098805,78,1200,5,20822,367,0,0,-1
197,Majordomo Staghelm,"The loss of his son, Valstann, in the War of the Shifting Sands utterly shattered Fandral Staghelm's spirit. Now empowered by Ragnaros as the new Majordomo of the Firelands (replacing the deceased Majordomo Executus) and the leader of the treacherous Druids of the Flame, Fandral seeks to bring ruin to Azeroth rather than live in a world without his beloved child.",0.5099801,0.72455096,78,1185,6,20830,369,0,0,-1
198,Ragnaros,"Ragnaros, lord of the Firelands, embodies the fury and destruction of the primordial infernos that forged Azeroth itself. Promised the chance to set Azeroth aflame without interference from Neptulon and Therazane, Ragnaros seeks to appease the Old Gods by incinerating the World Tree of Nordrassil.",0.507502,0.15383,78,1203,7,20834,369,0,0,-1
283,Echo of Tyrande,"Once the leader of the night elves and High Priestess of Elune, this time-twisted fragment of Tyrande Whisperwind now wanders the wastes of the desolate future of Azeroth. Enveloped in a perpetual midnight, she has all but lost sight of the comforting light of Elune.",0.515514,0.433775,184,1884,4,3667,405,0,0,-1
285,Echo of Jaina,"The tormented fragment of Jaina Proudmoore has been split and infused within the shattered pieces of her staff. To restore balance to the timeways, this echo must be defeated. However, the devastating magical power possessed by the once-proud ruler of Theramore is hardly lost to her time-havocked spectre. In this future Azeroth, she is only divided, and waiting...",0.495389,0.660817,184,1883,2,3641,402,0,0,-1
289,Murozond,"Now living outside of time, Murozond was once the great Dragon Aspect Nozdormu the Timeless One. After the titans showed him his own death, the tormented Nozdormu was tricked by the Old Gods into trying to subvert his mortality. As a result, Nozdormu shattered the timeways and created the Infinite Dragonflight... jeopardizing the very future of Azeroth.",0.484811,0.323013,184,1271,5,3675,406,0,0,-1
290,Peroth'arn,"Like many of his fellow Highborne, Peroth'arn swore allegiance to the corrupted Xavius in exchange for gifts of demonic power. 

As a master of fiendish magic and recipient of the satyr curse, Peroth'arn stands outside Azshara's palace in defense of the Burning Legion, ready to destroy those hoping to disrupt the entrance of the Dark Titan, Sargeras, into Azeroth.",0.237485,0.482577,185,1272,1,4164,398,0,0,-1
291,Queen Azshara,"The songs of Queen Azshara's beauty, majesty, and power are too numerous to count, but it was her vanity that drove the Highborne to summon the Burning Legion. She now watches her most trusted magi empower the portal where Sargeras will be brought into Azeroth, content to let multitudes of her servants die in advance of the Dark Titan's arrival.",0.463389,0.369625,185,1273,2,3968,398,0,0,-1
292,Mannoroth and Varo'then,"Varo'then, head of Queen Azshara's personal guard, and Mannoroth, the pit lord whose blood will corrupt the entire orc race, stand as the last line of defense against those hoping to bar Sargeras's entry into Azeroth. Though both Tyrande and Illidan have fought bravely thus far, the fate of Azeroth will be decided at the Well of Eternity's very brink.",0.873028,0.482577,185,1274,3,3684,398,0,0,-1
311,Morchok,"The most powerful elemental still under Deathwing's sway, Morchok-once a passive guardian-is now convinced that his only respite will come with Azeroth's demise. Morchok rages against the foundation of Wyrmrest Temple, Azeroth's last beacon of hope in the Hour of Twilight.",0.503996,0.692524,187,1292,1,3879,409,0,0,-1
317,Hagara the Stormbinder,"Hagara, one of the first students of arcane magic under the Forsaken, showed surprising potential for one who had started learning so late in life. But in her undisciplined attempts to bind elementals into servitude, she was ensnared and twisted by the Windlord, Al'Akir. Now fiercely loyal to the Twilight's Hammer, Hagara binds others for her elemental masters to torment.",0.527504,0.520451,187,1296,4,3912,412,0,0,-1
318,Spine of Deathwing,"When Deathwing first channeled the Dragon Soul's power against the other flights, the massive energies that were unleashed threatened to break apart his very body.  Rather than forgo this weapon, he had adamantium plates fused to his scales to hold his body together. Later reinforced with elementium, these plates are now his weakness--the sole vulnerability to Deathwing's lethal presence.",0.332117,0.852587,187,1291,7,4050,414,0,0,-1
322,Arcurion,"Horde and Alliance assaults against the Twilight's Hammer have slaughtered many of the cult's fearsome elemental ascendants. One exception is Arcurion, a formidable ice ascendant tasked to slay Thrall and retrieve the Dragon Soul. Should this twisted elemental being succeed, nothing will be able to stop Deathwing from ushering in the Hour of Twilight.",0.567376,0.277179,186,1337,1,3942,399,0,0,-1
323,Echo of Sylvanas,"Spawned from shattered timeways and cloistered within the Ruby Dragonshrine, a maddened fragment of the Forsaken's leader, Sylvanas Windrunner, waits restlessly. Having lost everything and unable to find peace, this tormented echo aches for a chance to unleash her dark fury at anything still living within these barren, time-twisted wastes.",0.559097,0.392068,184,1882,3,3955,403,0,0,-1
324,Warlord Zon'ozz,"Countless ages ago, Warlord Zon'ozz and his soldiers waged endless war against the forces of C'Thun and Yogg-Saron. Millennia have passed, but the warlord still serves the chaotic might of the Old God N'Zoth. Deathwing has now unleashed this legendary faceless one to crush the defenders of Wyrmrest Temple.",0.509638,0.530325,187,1294,2,3970,410,0,0,-1
325,Yor'sahj the Unsleeping,"Since the fall of the Bastion of Twilight, Yor'sahj the Unsleeping has eagerly assisted Deathwing, providing the Destroyer with the means to release more faceless ones from their prisons deep beneath the earth. Their numbers are endless and their power is beyond reckoning, and Yor'sahj intends to reap a grim reward for his faithful service.",0.468265,0.499295,187,1295,3,3974,411,0,0,-1
331,Ultraxion,"More an abomination of dark energy than a dragon, Ultraxion has spent his short life absorbing the essence of captured nether dragons. Ultraxion is the only twilight dragon Deathwing has praised, and his arrogance is overshadowed only by the crackling energies surging through his twisted form. Loyal to his master, Ultraxion swears to bring about the fall of Wyrmrest Temple.",0.500329,0.45809,187,1297,5,4247,409,0,0,-1
332,Warmaster Blackhorn,"Though once vast in number, only a few dozen twilight dragons now remain. Astride these hardened survivors are the last vestiges of the Twilight's Hammer's army: the elite drake riders of Deathwing's personal escort. Led by the insidious Warmaster Blackhorn, they move with unholy purpose, driven to protect their dark master.",0.481521,0.171771,187,1298,6,4027,413,0,0,-1
333,Madness of Deathwing,"A warped mass of molten hatred and unfathomable power, this formless, mindless horror cannot be stopped. Whatever was left of Neltharion the Earth-Warder is long gone, his mind and soul corrupted and devoured by his Old God masters. All this monstrous being desires is destruction, annihilation, and the end of all things.",0.478702,0.538485,187,1299,8,4040,415,0,0,-1
335,Sha of Doubt,"The physical manifestation of suspicion was trapped in the Jade Forest after Emperor Shaohao defeated the entity 10,000 years ago. The Sha of Doubt then grew obsessed with the Jade Serpent--Yu'lon, the Spirit of Wisdom and Foresight--and now delights in the thought of corrupting her home.",0.60893,0.590663,313,1439,4,4072,429,0,0,-1
339,"Alizabal, Mistress of Hate","The Kirin Tor imprisoned Alizabal in their formidable Violet Hold not long after corrupt magi summoned the shivarra into Azeroth. Despite arcane wards restricting her powers, the demon's malicious influence alone caused her guards to murder one another in sudden fits of rage. Her transfer to Baradin Hold prior to the Cataclysm has only aggravated the ruined prison's increasingly dire conditions.",0.479042,0.179641,75,1332,3,4120,282,0,2,15
340,Echo of Baine,"Enraged by his failure to protect the world and, most importantly, the Horde, this time-ravaged shade of Baine Bloodhoof lingers within the ruins of the Obsidian Dragonshrine. Although he's still as powerful as the tauren high chieftain from the present, within this shattered future Azeroth, this guilt-ridden echo is little more than a discordant vessel of unquenchable malice and anger.",0.367197,0.530952,184,1881,1,4138,404,0,0,-1
